"Code Fap";"Libellé de la famille professionnelle";"Année";"Salaire médian (en €)"
"J1Z40";"Ouvriers qualifiés du magasinage et de la manutention";"2017-2019";"1550"
"J1Z80";"Responsables magasinage";"2017-2019";"2006"
"J1Z80";"Responsables magasinage";"2003-2005";"1540"
"J3Z";"Conducteurs de véhicules";"2017-2019";"1800"
"J3Z";"Conducteurs de véhicules";"2003-2005";"1393"
"J3Z40";"Conducteurs de véhicules légers";"2003-2005";"1220"
"J3Z40";"Conducteurs de véhicules légers";"2017-2019";"1600"
"J3Z41";"Conducteurs de transport en commun sur route";"2017-2019";"1833"
"J3Z41";"Conducteurs de transport en commun sur route";"2003-2005";"1401"
"J3Z42";"Conducteurs et livreurs sur courte distance";"2017-2019";"1594"
"J3Z42";"Conducteurs et livreurs sur courte distance";"2003-2005";"1250"
"J3Z43";"Conducteurs routiers";"2017-2019";"1903"
"J3Z43";"Conducteurs routiers";"2003-2005";"1459"
"J3Z44";"Conducteurs sur rails et d'engins de traction";"2003-2005";"1651"
"J3Z44";"Conducteurs sur rails et d'engins de traction";"2017-2019";"2500"
"J4Z";"Agents d'exploitation des transports";"2017-2019";"2166"
"J4Z";"Agents d'exploitation des transports";"2003-2005";"1680"
"J4Z40";"Agents d'exploitation des transports";"2017-2019";"1850"
"J4Z40";"Agents d'exploitation des transports";"2003-2005";"1500"
"J4Z80";"Responsables logistiques (non cadres)";"2017-2019";"2208"
"J4Z80";"Responsables logistiques (non cadres)";"2003-2005";"1773"
"J5Z";"Agents administratifs et commerciaux des transports et du tourisme";"2003-2005";"1512"
"J5Z";"Agents administratifs et commerciaux des transports et du tourisme";"2017-2019";"1800"
"J5Z60";"Agents et hôtesses d'accompagnement";"2017-2019";"2000"
"J5Z60";"Agents et hôtesses d'accompagnement";"2003-2005";"1975"
"J5Z61";"Agents administratifs des transports";"2003-2005";"1418"
"J5Z61";"Agents administratifs des transports";"2017-2019";"1666"
"J5Z62";"Employés des transports et du tourisme";"2017-2019";"1655"
"J5Z62";"Employés des transports et du tourisme";"2003-2005";"1476"
"J5Z80";"Techniciens des transports et du tourisme";"2017-2019";"1950"
"J5Z80";"Techniciens des transports et du tourisme";"2003-2005";"1608"
"J6Z";"Cadres des transports, de la logistique et navigants de l'aviation";"2017-2019";"3100"
"J6Z";"Cadres des transports, de la logistique et navigants de l'aviation";"2003-2005";"2614"
"J6Z90";"Cadres des transports";"2017-2019";"3033"
"J6Z90";"Cadres des transports";"2003-2005";"2414"
"J6Z91";"Personnels navigants de l'aviation";"2017-2019";"4500"
"J6Z91";"Personnels navigants de l'aviation";"2003-2005";"4596"
"J6Z92";"Ingénieurs et cadres de la logistique, du planning et de l'ordonnancement";"2003-2005";"2550"
"J6Z92";"Ingénieurs et cadres de la logistique, du planning et de l'ordonnancement";"2017-2019";"2960"
"K";"Artisanat";"2003-2005";"972"
"K";"Artisanat";"2017-2019";"1322"
"K0Z";"Artisans et ouvriers artisanaux";"2003-2005";"972"
"K0Z";"Artisans et ouvriers artisanaux";"2017-2019";"1322"
"K0Z20";"Ouvriers non qualifiés divers de type artisanal";"2017-2019";"1200"
"K0Z20";"Ouvriers non qualifiés divers de type artisanal";"2003-2005";"874"
"K0Z40";"Artisans et ouvriers qualifiés divers de type artisanal";"2017-2019";"1527"
"K0Z40";"Artisans et ouvriers qualifiés divers de type artisanal";"2003-2005";"1242"
"L";"Gestion, administration des entreprises";"2003-2005";"1517"
"L";"Gestion, administration des entreprises";"2017-2019";"2000"
"L0Z";"Secrétaires";"2003-2005";"1278"
"L0Z";"Secrétaires";"2017-2019";"1551"
"L0Z60";"Secrétaires bureautiques et assimilés";"2017-2019";"1551"
"L0Z60";"Secrétaires bureautiques et assimilés";"2003-2005";"1278"
"L1Z";"Employés de la comptabilité";"2003-2005";"1341"
"L1Z";"Employés de la comptabilité";"2017-2019";"1733"
"L1Z60";"Employés de la comptabilité";"2003-2005";"1341"
"L1Z60";"Employés de la comptabilité";"2017-2019";"1733"
"L2Z";"Employés administratifs d'entreprise";"2003-2005";"1285"
"L2Z";"Employés administratifs d'entreprise";"2017-2019";"1560"
"L2Z60";"Agents d'accueil et d'information";"2017-2019";"1375"
"L2Z60";"Agents d'accueil et d'information";"2003-2005";"1149"
"L2Z61";"Agents administratifs divers";"2017-2019";"1600"
"L2Z61";"Agents administratifs divers";"2003-2005";"1300"
"L3Z";"Secrétaires de direction";"2017-2019";"1920"
"L3Z";"Secrétaires de direction";"2003-2005";"1539"
"L3Z80";"Secrétaires de direction";"2017-2019";"1920"
"L3Z80";"Secrétaires de direction";"2003-2005";"1539"
